ticker,name,instTrendScore,instTrendDetail,chipsProxyScore,openinsider_link,sec_edgar_link
NVDA,NVIDIA,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=NVDA&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA&type=4&dateb=&owner=include&count=40
AVGO,Broadcom,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=AVGO&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO&type=4&dateb=&owner=include&count=40
AMAT,Applied Materials,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=AMAT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT&type=4&dateb=&owner=include&count=40
LRCX,Lam Research,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=LRCX&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX&type=4&dateb=&owner=include&count=40
KLAC,KLA,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=KLAC&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC&type=4&dateb=&owner=include&count=40
WDC,Western Digital,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=WDC&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC&type=4&dateb=&owner=include&count=40
MU,Micron,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=MU&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU&type=4&dateb=&owner=include&count=40
MSFT,Microsoft,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=MSFT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT&type=4&dateb=&owner=include&count=40
ETN,Eaton,8,頂級機構 9/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=ETN&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN&type=4&dateb=&owner=include&count=40
VRT,Vertiv,8,頂級機構 9/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=VRT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRT&type=4&dateb=&owner=include&count=40
VST,Vistra,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=VST&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VST&type=4&dateb=&owner=include&count=40
CEG,Constellation Energy,8,頂級機構 8/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=CEG&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CEG&type=4&dateb=&owner=include&count=40
GLW,Corning,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=GLW&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW&type=4&dateb=&owner=include&count=40
PANW,Palo Alto Networks,8,頂級機構 9/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=PANW&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PANW&type=4&dateb=&owner=include&count=40
APH,Amphenol,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=APH&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH&type=4&dateb=&owner=include&count=40
TEL,TE Connectivity,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=TEL&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL&type=4&dateb=&owner=include&count=40
LMT,Lockheed Martin,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=LMT&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT&type=4&dateb=&owner=include&count=40
RTX,RTX Corp,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=RTX&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTX&type=4&dateb=&owner=include&count=40
LLY,Eli Lilly,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=LLY&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLY&type=4&dateb=&owner=include&count=40
CRWD,CrowdStrike,8,頂級機構 6/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=CRWD&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRWD&type=4&dateb=&owner=include&count=40
BE,Bloom Energy Corporation,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=BE&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BE&type=4&dateb=&owner=include&count=40
HPE,Hewlett Packard Enterprise,8,頂級機構 8/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=HPE&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE&type=4&dateb=&owner=include&count=40
COHR,Coherent Corp,8,頂級機構 9/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=COHR&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COHR&type=4&dateb=&owner=include&count=40
CSCO,Cisco Systems,8,頂級機構 7/10 家增持(佈局趨勢),8,http://openinsider.com/screener?s=CSCO&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO&type=4&dateb=&owner=include&count=40
P,Everpure,5,增持 5 vs 減持 3(偏多),5,http://openinsider.com/screener?s=P&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=P&type=4&dateb=&owner=include&count=40
ANET,Arista Networks,5,增持 5 vs 減持 4(偏多),5,http://openinsider.com/screener?s=ANET&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET&type=4&dateb=&owner=include&count=40
ORCL,Oracle,3,增持 5 vs 減持 5(中性),3,http://openinsider.com/screener?s=ORCL&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL&type=4&dateb=&owner=include&count=40
JPM,JPMorgan,3,增持 5 vs 減持 5(中性),3,http://openinsider.com/screener?s=JPM&o=&pl=&ph=&ll=&lh=&fd=90&fdr=&td=0&tdr=&fdlyl=&fdlyh=&daysago=&xp=1&xs=1&vl=&vh=&ocl=&och=&sic1=-1&sicl=100&sich=9999&grp=0&nfl=&nfh=&nil=&nih=&nol=&noh=&v2l=&v2h=&oc2l=&oc2h=&sortcol=0&cnt=100&page=1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM&type=4&dateb=&owner=include&count=40
